alg,rep,TI,Identity
Greedy,0,1317.5677774573958,0.1627155172413793
Greedy,1,1300.2536012400903,0.1896551724137931
Greedy,2,1307.296920530751,0.1788793103448276
Greedy,3,1303.406086371375,0.16702586206896552
Greedy,4,1305.7194030826995,0.1853448275862069
MCMC_new,0,759.1566833725726,0.07758620689655173
MCMC_new,1,780.9759804971793,0.06465517241379311
MCMC_new,2,714.270998642111,0.07650862068965517
MCMC_new,3,771.5721320104224,0.0668103448275862
MCMC_new,4,735.9720796214665,0.05603448275862069
MCMC_old,0,758.7177186224329,0.07112068965517242
MCMC_old,1,772.1723896931193,0.07543103448275862
MCMC_old,2,764.3710948307939,0.05603448275862069
MCMC_old,3,786.5891747935573,0.06788793103448276
MCMC_old,4,737.4641014544177,0.07112068965517242
